,game_id,team,opp_team,home_away,home_score,away_score,win,margin,total_pts,year,week,pts_scored_last_5_games,pts_scored_season,pts_conceded_last_5_games,pts_conceded_season,totalyYds_gained_last_5,totalyYds_gained_season,passing_yds_gained_last_5,passing_yds_gained_season,rushing_yds_gained_last_5,rushing_yds_gained_season,totalyYds_allowed_last_5,totalyYds_allowed_season,passing_yds_allowed_last_5,passing_yds_allowed_season,rushing_yds_allowed_last_5,rushing_yds_allowed_season,penalty_yds_awarded_last_5,penalty_yds_awarded_season,penalty_yds_conceded_last_5,penalty_yds_conceded_season,first_downs_gained_last_5,first_downs_gained_season,first_downs_conceded_last_5,first_downs_conceded_season,turnovers_won_last_5,turnovers_won_season,turnovers_conceded_last_5,turnovers_conceded_season
29,54496,SD,BAL,home,26,31,FALSE,5,57,2009,2,-14,-14,-4,-4,-184,-184,-63,-63,-121,-121,178,178,59,59,119,119,-5,-5,25,25,-13,-13,8,8,3,3,1,1
30,54497,DAL,NYG,home,31,33,FALSE,2,64,2009,2,11,11,4,4,111,111,96,96,15,15,178,178,89,89,89,89,11,11,-17,-17,0,0,11,11,-2,-2,-2,-2
31,54498,MIA,IND,home,23,27,FALSE,4,50,2009,2,-7,-7,7,7,-106,-106,-131,-131,25,25,53,53,99,99,-46,-46,10,10,11,11,-5,-5,7,7,0,0,2,2
32,54504,BAL,CLE,home,34,3,TRUE,31,37,2009,3,21.5,21.5,-5.5,-5.5,172,172,79.5,79.5,92.5,92.5,-48.5,-48.5,116,116,-164.5,-164.5,-6,-6,6,6,13,13,-6.5,-6.5,0.5,0.5,-1.5,-1.5
33,54505,CIN,PIT,home,23,20,TRUE,3,43,2009,3,5.5,5.5,4.5,4.5,-19.5,-19.5,-67.5,-67.5,48,48,9,9,-8.5,-8.5,17.5,17.5,7.5,7.5,3.5,3.5,-2.5,-2.5,-1.5,-1.5,-0.5,-0.5,-0.5,-0.5
34,54506,DET,WAS,home,19,14,TRUE,5,33,2009,3,7,7,21,21,-69,-69,-45,-45,-24,-24,92,92,72,72,20,20,29,29,2,2,-2.5,-2.5,7,7,0.5,0.5,1.5,1.5
35,54507,HOU,JAC,home,24,31,FALSE,7,55,2009,3,6,6,5,5,1.5,1.5,54,54,-52.5,-52.5,81.5,81.5,-39,-39,120.5,120.5,1.5,1.5,34.5,34.5,0,0,-1,-1,-0.5,-0.5,-0.5,-0.5
36,54508,MIN,SF,home,27,24,TRUE,3,51,2009,3,9,9,3.5,3.5,-3.5,-3.5,-33.5,-33.5,30,30,-24.5,-24.5,-80.5,-80.5,56,56,-2,-2,-8,-8,4,4,-1,-1,1,1,0,0
37,54509,NE,ATL,home,26,10,TRUE,16,36,2009,3,-6.5,-6.5,6.5,6.5,44,44,75.5,75.5,-31.5,-31.5,-84.5,-84.5,-68,-68,-16.5,-16.5,34.5,34.5,32,32,2,2,-4.5,-4.5,-2,-2,0,0
38,54510,PHI,KC,home,34,14,TRUE,20,48,2009,3,13,13,3.5,3.5,66.5,66.5,32.5,32.5,34,34,-38.5,-38.5,-15.5,-15.5,-23,-23,18,18,-33.5,-33.5,2,2,-3,-3,3.5,3.5,2,2
