,away_score,away_team_id,changeable,home_score,home_team_id,id,ko_datetime,name,week
87,0,53,True,0,51,659,2017-10-15 16:05:00+00:00,57321,6
88,0,62,True,0,52,660,2017-10-15 16:25:00+00:00,57322,6
89,0,63,True,0,60,661,2017-10-15 16:25:00+00:00,57323,6
90,0,58,True,0,46,662,2017-10-15 20:30:00+00:00,57324,6
91,0,50,True,0,67,663,2017-10-16 20:30:00+00:00,57325,6
92,0,52,True,0,60,664,2017-10-19 20:25:00+00:00,57326,7
93,0,66,True,0,40,665,2017-10-22 13:00:00+00:00,57327,7
94,0,41,True,0,42,666,2017-10-22 13:00:00+00:00,57328,7
95,0,67,True,0,44,667,2017-10-22 13:00:00+00:00,57329,7
96,0,57,True,0,48,668,2017-10-22 13:00:00+00:00,57330,7
97,0,51,True,0,50,669,2017-10-22 13:00:00+00:00,57331,7
98,0,37,True,0,53,670,2017-10-22 13:00:00+00:00,57332,7
99,0,59,True,0,54,671,2017-10-22 13:00:00+00:00,57333,7
100,0,39,True,0,55,672,2017-10-22 13:00:00+00:00,57334,7
101,0,43,True,0,62,673,2017-10-22 13:00:00+00:00,57335,7
102,0,45,True,0,65,674,2017-10-22 16:05:00+00:00,57336,7
103,0,46,True,0,63,675,2017-10-22 16:25:00+00:00,57337,7
104,0,64,True,0,58,676,2017-10-22 16:25:00+00:00,57338,7
105,0,38,True,0,56,677,2017-10-22 20:30:00+00:00,57339,7
106,0,68,True,0,61,678,2017-10-23 20:30:00+00:00,57340,7
107,0,54,True,0,39,679,2017-10-26 20:25:00+00:00,57341,8
108,0,55,True,0,44,680,2017-10-29 21:30:00+00:00,57342,8
109,0,60,True,0,40,681,2017-10-29 13:00:00+00:00,57343,8
110,0,50,True,0,43,682,2017-10-29 13:00:00+00:00,57344,8
111,0,63,True,0,56,683,2017-10-29 13:00:00+00:00,57345,8
112,0,42,True,0,57,684,2017-10-29 13:00:00+00:00,57346,8
113,0,38,True,0,59,685,2017-10-29 13:00:00+00:00,57347,8
114,0,65,True,0,61,686,2017-10-29 13:00:00+00:00,57348,8
115,0,41,True,0,66,687,2017-10-29 13:00:00+00:00,57349,8
116,0,49,True,0,64,688,2017-10-29 16:05:00+00:00,57350,8
117,0,45,True,0,68,689,2017-10-29 16:25:00+00:00,57351,8
118,0,62,True,0,47,690,2017-10-29 20:30:00+00:00,57352,8
119,0,46,True,0,52,691,2017-10-30 20:30:00+00:00,57353,8
120,0,40,True,0,59,692,2017-11-02 20:25:00+00:00,57354,9
121,0,38,True,0,41,693,2017-11-05 13:00:00+00:00,57355,9
122,0,50,True,0,49,694,2017-11-05 13:00:00+00:00,57356,9
123,0,43,True,0,51,695,2017-11-05 13:00:00+00:00,57357,9
124,0,66,True,0,57,696,2017-11-05 13:00:00+00:00,57358,9
125,0,53,True,0,58,697,2017-11-05 13:00:00+00:00,57359,9
126,0,46,True,0,61,698,2017-11-05 13:00:00+00:00,57360,9
127,0,39,True,0,67,699,2017-11-05 13:00:00+00:00,57361,9
128,0,37,True,0,65,700,2017-11-05 16:05:00+00:00,57362,9
129,0,68,True,0,64,701,2017-11-05 16:05:00+00:00,57363,9
130,0,52,True,0,45,702,2017-11-05 16:25:00+00:00,57364,9
131,0,60,True,0,54,703,2017-11-05 20:30:00+00:00,57365,9
132,0,47,True,0,48,704,2017-11-06 20:30:00+00:00,57366,9
133,0,64,True,0,37,705,2017-11-09 20:25:00+00:00,57367,10
134,0,57,True,0,40,706,2017-11-12 13:00:00+00:00,57368,10
135,0,48,True,0,42,707,2017-11-12 13:00:00+00:00,57369,10
136,0,44,True,0,47,708,2017-11-12 13:00:00+00:00,57370,10
137,0,62,True,0,50,709,2017-11-12 13:00:00+00:00,57371,10
138,0,63,True,0,51,710,2017-11-12 13:00:00+00:00,57372,10
139,0,59,True,0,66,711,2017-11-12 13:00:00+00:00,57373,10
140,0,43,True,0,67,712,2017-11-12 13:00:00+00:00,57374,10
141,0,55,True,0,68,713,2017-11-12 13:00:00+00:00,57375,10
142,0,49,True,0,53,714,2017-11-12 16:05:00+00:00,57376,10
143,0,45,True,0,38,715,2017-11-12 16:25:00+00:00,57377,10
144,0,58,True,0,65,716,2017-11-12 16:25:00+00:00,57378,10
145,0,56,True,0,46,717,2017-11-12 20:30:00+00:00,57379,10
146,0,54,True,0,41,718,2017-11-13 20:30:00+00:00,57380,10
147,0,67,True,0,62,719,2017-11-16 20:25:00+00:00,57381,11
148,0,47,True,0,42,720,2017-11-19 13:00:00+00:00,57382,11
149,0,51,True,0,44,721,2017-11-19 13:00:00+00:00,57383,11
150,0,39,True,0,48,722,2017-11-19 13:00:00+00:00,57384,11
151,0,37,True,0,49,723,2017-11-19 13:00:00+00:00,57385,11
152,0,53,True,0,55,724,2017-11-19 13:00:00+00:00,57386,11
153,0,68,True,0,57,725,2017-11-19 13:00:00+00:00,57387,11
154,0,52,True,0,58,726,2017-11-19 13:00:00+00:00,57388,11
155,0,40,True,0,63,727,2017-11-19 16:05:00+00:00,57389,11
156,0,43,True,0,46,728,2017-11-19 16:25:00+00:00,57390,11
157,0,56,True,0,60,729,2017-11-19 16:25:00+00:00,57391,11
158,0,61,True,0,45,730,2017-11-19 20:30:00+00:00,57392,11
159,0,38,True,0,64,731,2017-11-20 20:30:00+00:00,57393,11
160,0,55,True,0,47,732,2017-11-23 00:30:00+00:00,57394,12
161,0,63,True,0,45,733,2017-11-23 16:30:00+00:00,57395,12
