,away_pick,fixture_id,home_pick,id,lock,user_id
0,16.0,572,33.0,3594,False,13
1,7.0,573,14.0,3595,False,13
2,24.0,574,14.0,3596,False,13
3,14.0,575,17.0,3597,False,13
4,28.0,576,18.0,3598,False,13
5,29.0,577,20.0,3599,False,13
6,14.0,578,21.0,3600,False,13
7,,579,,3601,False,13
8,21.0,580,27.0,3602,False,13
9,27.0,581,34.0,3603,False,13
10,28.0,582,20.0,3604,False,13
11,10.0,583,21.0,3605,False,13
12,28.0,584,21.0,3606,False,13
13,23.0,585,26.0,3607,False,13
14,21.0,586,28.0,3608,False,13
15,20.0,587,25.0,3609,False,13
16,10.0,588,17.0,3610,False,13
17,20.0,589,16.0,3611,True,13
18,18.0,590,24.0,3612,False,13
19,28.0,591,6.0,3613,False,13
20,21.0,592,14.0,3614,False,13
21,24.0,593,21.0,3615,False,13
22,29.0,594,21.0,3616,False,13
23,17.0,595,24.0,3617,False,13
24,19.0,596,29.0,3618,False,13
25,17.0,597,24.0,3619,False,13
26,10.0,598,32.0,3620,False,13
27,28.0,599,24.0,3621,False,13
28,17.0,600,24.0,3622,False,13
29,7.0,601,24.0,3623,False,13
30,30.0,602,21.0,3624,False,13
31,21.0,603,14.0,3625,False,13
32,21.0,604,7.0,3626,True,13
33,17.0,605,18.0,3627,False,13
34,20.0,606,11.0,3628,False,13
35,24.0,607,21.0,3629,False,13
36,30.0,608,17.0,3630,False,13
37,31.0,609,28.0,3631,False,13
38,23.0,610,20.0,3632,False,13
39,29.0,611,20.0,3633,False,13
40,12.0,612,24.0,3634,False,13
41,25.0,613,20.0,3635,False,13
42,13.0,614,26.0,3636,False,13
43,16.0,615,18.0,3637,False,13
44,18.0,616,28.0,3638,False,13
45,14.0,617,22.0,3639,False,13
46,28.0,618,25.0,3640,False,13
47,21.0,619,17.0,3641,False,13
48,16.0,620,24.0,3642,False,13
49,21.0,621,14.0,3643,False,13
50,10.0,622,17.0,3644,False,13
51,24.0,623,14.0,3645,False,13
52,28.0,624,26.0,3646,False,13
53,29.0,625,26.0,3647,False,13
54,28.0,626,24.0,3648,False,13
55,24.0,627,17.0,3649,False,13
56,16.0,628,38.0,3650,False,13
57,17.0,629,6.0,3651,False,13
58,14.0,630,26.0,3652,False,13
59,28.0,631,27.0,3653,False,13
60,21.0,632,27.0,3654,False,13
61,14.0,633,24.0,3655,False,13
62,10.0,634,14.0,3656,False,13
63,28.0,635,30.0,3657,False,13
64,24.0,636,21.0,3658,False,13
65,15.0,637,25.0,3659,False,13
66,15.0,638,25.0,3660,False,13
67,15.0,639,25.0,3661,False,13
68,15.0,640,25.0,3662,False,13
69,15.0,641,25.0,3663,False,13
70,15.0,642,25.0,3664,False,13
71,15.0,643,25.0,3665,False,13
72,15.0,644,25.0,3666,False,13
73,21.0,645,24.0,3667,False,13
74,20.0,646,7.0,3668,False,13
75,30.0,647,24.0,3669,False,13
76,27.0,648,17.0,3670,False,13
77,14.0,649,10.0,3671,False,13
78,,650,,3672,False,13
79,,651,,3673,False,13
80,,652,,3674,False,13
81,,653,,3675,False,13
82,,654,,3676,False,13
83,,655,,3677,False,13
84,,656,,3678,False,13
85,,657,,3679,False,13
86,,658,,3680,False,13
87,,659,,3681,False,13
88,,660,,3682,False,13
89,,661,,3683,False,13
90,,662,,3684,False,13
91,,663,,3685,False,13
92,,664,,3686,False,13
93,,665,,3687,False,13
94,,666,,3688,False,13
95,,667,,3689,False,13
96,,668,,3690,False,13
97,,669,,3691,False,13
98,,670,,3692,False,13
99,,671,,3693,False,13
100,,672,,3694,False,13
101,,673,,3695,False,13
102,,674,,3696,False,13
103,,675,,3697,False,13
104,,676,,3698,False,13
105,,677,,3699,False,13
106,,678,,3700,False,13
107,,679,,3701,False,13
108,,680,,3702,False,13
109,,681,,3703,False,13
110,,682,,3704,False,13
111,,683,,3705,False,13
112,,684,,3706,False,13
113,,685,,3707,False,13
114,,686,,3708,False,13
115,,687,,3709,False,13
116,,688,,3710,False,13
117,,689,,3711,False,13
118,,690,,3712,False,13
119,,691,,3713,False,13
120,,692,,3714,False,13
121,,693,,3715,False,13
122,,694,,3716,False,13
123,,695,,3717,False,13
124,,696,,3718,False,13
125,,697,,3719,False,13
126,,698,,3720,False,13
127,,699,,3721,False,13
128,,700,,3722,False,13
129,,701,,3723,False,13
130,,702,,3724,False,13
131,,703,,3725,False,13
132,,704,,3726,False,13
133,,705,,3727,False,13
134,,706,,3728,False,13
135,,707,,3729,False,13
136,,708,,3730,False,13
137,,709,,3731,False,13
138,,710,,3732,False,13
139,,711,,3733,False,13
140,,712,,3734,False,13
141,,713,,3735,False,13
142,,714,,3736,False,13
143,,715,,3737,False,13
144,,716,,3738,False,13
145,,717,,3739,False,13
146,,718,,3740,False,13
147,,719,,3741,False,13
148,,720,,3742,False,13
149,,721,,3743,False,13
150,,722,,3744,False,13
151,,723,,3745,False,13
152,,724,,3746,False,13
153,,725,,3747,False,13
154,,726,,3748,False,13
155,,727,,3749,False,13
156,,728,,3750,False,13
157,,729,,3751,False,13
158,,730,,3752,False,13
159,,731,,3753,False,13
160,,732,,3754,False,13
161,,733,,3755,False,13
162,,734,,3756,False,13
163,,735,,3757,False,13
164,,736,,3758,False,13
165,,737,,3759,False,13
166,,738,,3760,False,13
167,,739,,3761,False,13
168,,740,,3762,False,13
169,,741,,3763,False,13
170,,742,,3764,False,13
171,,743,,3765,False,13
172,,744,,3766,False,13
173,,745,,3767,False,13
174,,746,,3768,False,13
175,,747,,3769,False,13
176,,748,,3770,False,13
177,,749,,3771,False,13
178,,750,,3772,False,13
179,,751,,3773,False,13
180,,752,,3774,False,13
181,,753,,3775,False,13
182,,754,,3776,False,13
183,,755,,3777,False,13
184,,756,,3778,False,13
185,,757,,3779,False,13
186,,758,,3780,False,13
187,,759,,3781,False,13
188,,760,,3782,False,13
189,,761,,3783,False,13
190,,762,,3784,False,13
191,,763,,3785,False,13
192,,764,,3786,False,13
193,,765,,3787,False,13
194,,766,,3788,False,13
195,,767,,3789,False,13
196,,768,,3790,False,13
197,,769,,3791,False,13
198,,770,,3792,False,13
199,,771,,3793,False,13
200,,772,,3794,False,13
201,,773,,3795,False,13
202,,774,,3796,False,13
203,,775,,3797,False,13
204,,776,,3798,False,13
205,,777,,3799,False,13
206,,778,,3800,False,13
207,,779,,3801,False,13
208,,780,,3802,False,13
209,,781,,3803,False,13
210,,782,,3804,False,13
211,,783,,3805,False,13
212,,784,,3806,False,13
213,,785,,3807,False,13
214,,786,,3808,False,13
215,,787,,3809,False,13
216,,788,,3810,False,13
217,,789,,3811,False,13
218,,790,,3812,False,13
219,,791,,3813,False,13
220,,792,,3814,False,13
221,,793,,3815,False,13
222,,794,,3816,False,13
223,,795,,3817,False,13
224,,796,,3818,False,13
225,,797,,3819,False,13
226,,798,,3820,False,13
227,,799,,3821,False,13
228,,800,,3822,False,13
229,,801,,3823,False,13
230,,802,,3824,False,13
231,,803,,3825,False,13
232,,804,,3826,False,13
233,,805,,3827,False,13
234,,806,,3828,False,13
235,,807,,3829,False,13
236,,808,,3830,False,13
237,,809,,3831,False,13
238,,810,,3832,False,13
239,,811,,3833,False,13
240,,812,,3834,False,13
241,,813,,3835,False,13
242,,814,,3836,False,13
243,,815,,3837,False,13
244,,816,,3838,False,13
245,,817,,3839,False,13
246,,818,,3840,False,13
247,,819,,3841,False,13
248,,820,,3842,False,13
249,,821,,3843,False,13
250,,822,,3844,False,13
251,,823,,3845,False,13
252,,824,,3846,False,13
253,,825,,3847,False,13
254,,826,,3848,False,13
255,,827,,3849,False,13
